index,winery,wine,year,rating,num_reviews,region,type,body,acidity,price
2928,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2929,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2930,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2931,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2932,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2933,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2934,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2935,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2936,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2937,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2938,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2939,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2940,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2941,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2942,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2943,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2944,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2945,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2946,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2947,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2948,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2949,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2950,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2951,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2952,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2953,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2954,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2955,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2956,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2957,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2958,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2959,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2960,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2961,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2962,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2963,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2964,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2965,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2966,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2967,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2968,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2969,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2970,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2971,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2972,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2973,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2974,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
2975,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
2976,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
2977,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
2978,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
2979,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
2980,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
2981,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
2982,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
2983,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
2984,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
2985,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
2986,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
2987,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
2988,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
2989,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
2990,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
2991,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
2992,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
2993,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
2994,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
2995,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
2996,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
2997,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
2998,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
2999,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3000,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3001,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3002,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3003,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3004,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3005,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3006,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3007,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3008,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3009,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3010,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3011,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3012,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3013,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3014,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3015,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3016,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3017,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3018,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3019,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3020,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3021,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3022,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3023,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3024,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3025,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3026,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3027,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3028,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3029,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3030,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3031,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3032,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3033,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3034,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3035,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3036,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3037,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3038,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3039,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3040,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3041,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3042,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3043,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3044,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3045,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3046,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3047,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3048,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3049,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3050,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3051,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3052,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3053,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3054,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3055,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3056,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3057,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3058,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3059,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3060,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3061,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3062,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3063,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3064,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3065,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3066,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3067,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3068,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3069,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3070,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3071,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3072,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3073,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3074,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3075,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3076,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3077,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3078,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3079,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3080,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3081,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3082,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3083,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3084,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3085,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3086,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3087,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3088,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3089,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3090,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3091,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3092,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3093,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3094,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3095,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3096,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3097,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3098,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3099,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3100,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3101,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3102,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3103,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3104,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3105,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3106,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3107,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3108,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3109,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3110,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3111,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3112,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3113,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3114,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3115,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3116,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3117,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3118,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3119,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3120,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3121,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3122,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3123,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3124,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3125,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3126,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3127,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3128,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3129,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3130,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3131,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3132,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3133,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3134,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3135,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3136,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3137,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3138,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3139,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3140,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3141,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3142,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3143,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3144,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3145,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3146,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3147,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3148,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3149,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3150,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3151,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3152,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3153,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3154,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3155,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3156,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3157,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3158,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
3159,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,5,3,37.9
3160,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,5,3,51.35
3161,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,4,3,22.99
3162,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3163,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,4,3,7.1
3164,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,4,3,77.36
3165,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3166,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,4,3,28.53
3167,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,5,3,27.89
3168,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,4,2,48.96
3169,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,4,3,61.94
3170,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,4,3,19.98
3171,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,4,3,16.76
3172,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,4,3,24.45
3173,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,5,3,64.5
3174,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,5,3,31.63
3175,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,4,3,73
3176,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,NA,NA,17.5
3177,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,NA,NA,18.9
3178,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,NA,NA,23.95
3179,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,NA,NA,28.3
3180,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,NA,NA,45
3181,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,NA,NA,17.9
3182,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,NA,NA,16.78
3183,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,NA,NA,13.58
3184,Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,Ribera Del Duero Red,NA,NA,37.9
3185,Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,Ribera Del Duero Red,NA,NA,51.35
3186,Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,Rioja Red,NA,NA,22.99
3187,Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,NA,NA,NA,11.95
3188,Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,Sherry,NA,NA,7.1
3189,Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,Priorat Red,NA,NA,77.36
3190,Binigrau,Nounat,2020,4.2,404,Mallorca,NA,NA,NA,19.9
3191,Ramon Bilbao,Mirto,2011,4.2,402,Rioja,Rioja Red,NA,NA,28.53
3192,Matsu,El Viejo,2019,4.2,400,Toro,Toro Red,NA,NA,27.89
3193,Artadi,Valdegines,2016,4.2,398,Vino de Espana,Tempranillo,NA,NA,48.96
3194,Contino,Rioja Graciano,2011,4.2,395,Rioja,Rioja Red,NA,NA,61.94
3195,Contino,Reserva,2016,4.2,392,Rioja,Rioja Red,NA,NA,19.98
3196,Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,Priorat Red,NA,NA,16.76
3197,Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,Red,NA,NA,24.45
3198,Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,Ribera Del Duero Red,NA,NA,64.5
3199,Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,Ribera Del Duero Red,NA,NA,31.63
3200,Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,Rioja Red,NA,NA,73
3201,La Vicalanda,Reserva,2015,4.2,420,Rioja,Rioja Red,4,3,17.5
3202,Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,Red,4,3,18.9
3203,Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,Red,4,3,23.95
3204,Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,Rioja Red,4,3,28.3
3205,Imperial,Rioja Reserva,2004,4.2,417,Rioja,Rioja Red,4,3,45
3206,Losada,Altos de Losada,2018,4.2,415,Bierzo,Mencia,3,3,17.9
3207,Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,Albarino,3,3,16.78
3208,La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,Rioja Red,4,3,13.58
